제목,브랜드,방,가격,인실
아띠 쉐어빌리지,아이유하우스 서울역점 RoomC,#여성전용 #셰어하우스,50 / 35만원 (3인실),(3인실)
커먼타운,센트럴 261 309,#여성전용 #셰어하우스,300 / 58만원 (1인실),(1인실)
Calm&Mood,숙대두번째 16호점 Room106,#여성전용 #셰어하우스,100 / 36만원 (2인실),(2인실)
서로가 쉐어하우스,충정로점 Room F,#여성전용 #셰어하우스,50 / 39만원 (3인실),(3인실)
동거동락,5호 서울역점 B룸,#여성전용 #셰어하우스,104 / 52만원 (1인실),(1인실)
쉐어하우스 STAY,숙대입구점 ROOM D,#여성전용 #셰어하우스,100 / 38만원 (2인실),(2인실)
자다,메리골드 후암1호점 Room A,#여성전용 #셰어하우스,70 / 35만원 (3인실),(3인실)
자다,메리골드 후암2호점 Room A,#여성전용 #셰어하우스,78 / 39만원 (3인실),(3인실)
우주,64호점 Room D,#여성전용 #셰어하우스,96 / 40만원 (2인실),(2인실)
동거동락,13호 서울역점 E룸,#여성전용 #셰어하우스,113 / 52만원 (1인실),(1인실)
아띠 쉐어빌리지,팝 하우스 충정로점 Room D,#남성전용 #셰어하우스,50 / 38만원 (1인실),(1인실)
하우스로그,아현 2호점 Room A,#여성전용 #셰어하우스,88 / 44만원 (1인실),(1인실)
함께꿈꾸는마을,남산소월01 Room C,#남성전용 #셰어하우스,76 / 38만원 (2인실),(2인실)
함께꿈꾸는마을,남산소월02 Room B,#남성전용 #셰어하우스,64 / 32만원 (3인실),(3인실)
애즈홈 쉐어하우스,2호점 Room C,#여성전용 #셰어하우스,80 / 40만원 (2인실),(2인실)
레피네하우스,명동1호점 Room B,#여성전용 #셰어하우스,100 / 50만원 (1인실),(1인실)
레피네하우스,명동3호점 Room C,#여성전용 #셰어하우스,70 / 37만원 (2인실),(2인실)
함께꿈꾸는마을,남산소월03 Room B,#여성전용 #셰어하우스,62 / 31만원 (3인실),(3인실)
함께꿈꾸는마을,남산소월04 Room B,#여성전용 #셰어하우스,66 / 33만원 (3인실),(3인실)
둥지,1호점 Room B,#여성전용 #셰어하우스,100 / 45만원 (2인실),(2인실)
홈스케치,아현2호점 Room C,#여성전용 #셰어하우스,76 / 38만원 (2인실),(2인실)
